,id,open,high,low,volume,market_cap,social_score,average_sentiment,price_score,social_impact_score,correlation_rank,volatility,percent_change_24h,market_cap_global,close
0,ID_322qz6,9422.849081,9428.490628,9422.849081,713198620.0,173763453624.0,11681999.0,3.6,2.7,3.6,3.3,0.0071176,1.4345161346109587,281806567507.0,9428.279323
1,ID_3239o9,7985.359278,7992.059917,7967.567267,400475518.0,142694202230.96,5924770.0,3.7,2.0,2.0,1.0,0.00941863,-2.4595073021531104,212689713284.66,7967.567267
2,ID_323J9k,49202.033778,49394.593518,49068.057046,3017728869.0,916697653223.0,47796942.0,3.7,3.1,3.0,3.3,0.01353005,4.942447794031182,1530711784042.0,49120.738484
4,ID_324kJH,10535.737119,10535.737119,10384.798216,1150053380.0,192118271222.0,14426405.0,3.7,4.7,3.8,4.4,0.0103325,2.609576225827736,338692529390.0,10384.798216
6,ID_325m2L,9697.250948,9712.247413,9697.250948,1231230588.0,176703460888.0,30476752.0,3.7,3.5,3.0,3.1,0.00859356,1.1590696328524808,280781866939.0,9712.247413
7,ID_326vWj,8200.324549,8200.324549,8177.618366,476349522.0,147316850699.34,5335608.0,3.7,5.0,4.0,3.3,0.00347248,-0.3048041804659189,221805845875.0,8178.00904
9,ID_327FsT,46631.400268,46817.417045,46525.810946,3049439653.0,867801669532.0,77898223.0,3.6,2.3,3.0,3.9,0.02516171,0.4707278360983226,1434609555095.0,46570.843691
10,ID_327Tdt,6619.616674,6626.041207,6599.930467,1250968048.0,120780908548.0,12750340.0,3.7,1.0,4.0,2.7,0.01288711,-2.389719458274289,182590327834.0,6599.930467
12,ID_329ifa,6840.412493,6851.801021,6840.412493,1196068953.0,125620656336.0,15870125.0,3.7,3.8,4.1,2.6,0.01837739,0.8797789006242176,195452124025.0,6842.657764
14,ID_32Awve,8761.10845,8804.291209,8753.809461,1872646771.0,161407225102.0,26745205.0,3.8,3.2,4.2,2.3,0.0076902,-0.3792470662673605,247944914368.0,8796.234581
15,ID_32BsTp,56990.001077,57130.656784,56319.573772,2542253720.0,1050595140892.0,87498196.0,3.7,3.0,4.4,2.0,0.02902349,-6.408687378729539,1766382078254.0,56421.341445
16,ID_32C6La,6306.24322,6329.232818,6299.549046,1373320638.0,115731478460.0,5299891.0,3.7,3.0,3.0,3.0,0.01560245,5.491437264334715,177662127355.0,6329.232818
17,ID_32Cpze,6209.493689,6209.493689,6137.22504,1553033364.0,113010225406.0,6767696.0,3.7,3.0,3.8,2.8,0.03095972,-2.0808792570232364,173417978564.0,6171.333754
20,ID_32DvWh,6643.871707,6643.871707,6631.382591,1340077306.0,120871382891.0,5342204.0,3.7,3.0,3.7,3.1,0.02046973,4.825101324189735,185658058722.0,6642.386573
21,ID_32Dx5R,7942.268275,7951.124484,7942.268275,349256679.0,142996677147.65,3340145.0,3.7,2.8,3.1,2.7,0.00409037,0.2272442408052503,217208104023.19,7951.124484
22,ID_32E2y9,9206.367083,9206.552426,9206.367083,659187023.0,166285631645.41,5470224.0,3.8,4.4,4.3,3.4,0.00449502,-1.572039139843866,249073143864.0,9206.552426
24,ID_32JT4c,9447.92274,9477.337525,9445.403664,664801734.0,172301390193.0,24012057.0,3.7,3.2,3.7,3.8,0.0099281,3.4569416417225454,266266128931.0,9470.135312
25,ID_32KcK6,7264.190712,7264.190712,7241.196428,1738204389.0,132708887072.0,14309781.0,3.6,3.2,3.7,3.2,0.00702686,2.834660807110009,209828946562.0,7241.196428
26,ID_32Kj9V,18490.586361,18490.586361,18451.839392,1464978397.0,343189938501.0,13469509.0,3.7,2.9,3.0,2.9,0.01636173,1.66121484682141,556304171262.0,18460.393367
